"","","preds"
"1","Interaction - worker was drilling holes in a 1"" piece of steel approximately 8' long x 12 x wide. The crane he has to work with has no side to side motion, only straight ahead. The worker has to pull the load by hand, or with tag line to line up so that he can place the fitting steel over drilled bolt holes.","__label__BACK 0.278106 __label__UNKNOWN 0.105676 __label__MULTIPLE 0.0898793"
"2","Interaction - Talked to operator about a bent spreader bar that was improvised, not engineered.","__label__BACK 0.678202 __label__UNKNOWN 0.04782 __label__BRAIN 0.035126"
"3","Interaction - Talked about the side load of crane as well as the torn lifting strap, and the way the load was rigged.","__label__HIP 0.252444 __label__MULTIPLE 0.217681 __label__KNEE 0.102885"
"4","Interaction - Worker drove truck into surface shop area after getting a flat tire. Worker used chocks, and jack to loosen lug bolts, raise tire and change tire.","__label__BACK 0.135755 __label__TRUNK 0.116142 __label__HIP 0.100719"
"5","Audit - there were three mine haul trucks, two forklifts and two buggies in the area.","__label__UNKNOWN 0.332402 __label__CHEST 0.254056 __label__MULTIPLE 0.183838"
"6","Interaction - Worker could not reach the bottom of the box where plug was to be put into the hole to eliminate the electrical hazard.","__label__BODY 0.241176 __label__UNKNOWN 0.216741 __label__FINGER 0.212391"
"7","Audit - checked worker who was operating forklift at the warehouse for pre-shift inspection. Noted that every check box had a line through it. Perhaps a pencil whip, pre-shift.","__label__MULTIPLE 0.156446 __label__BACK 0.146848 __label__BODY 0.110432"
"8","Interaction - There was an hydraulic cylinder lying on the ground near where the work was taking place. The cylinder was in the travelway and had started to become covered with snow.","__label__UNKNOWN 0.266146 __label__KNEE 0.187135 __label__BODY 0.169859"
"9","Interaction - Employee had taken guard off pump and covered moving part with a plastic bag to keep water spray at a minimum.","__label__MULTIPLE 0.208797 __label__BACK 0.160093 __label__ANKLE 0.0807213"
"10","Interaction - Worker was wearing proper PPE and advised of hazards in area.","__label__EYE 0.357573 __label__MULTIPLE 0.120333 __label__BODY 0.110689"
"11","Audit - Surface tire shop. Clear access to tools and storage areas. Floor clear of trip hazards. Good lighting. No issues","__label__UNKNOWN 0.363231 __label__MULTIPLE 0.163318 __label__KNEE 0.0857131"
"12","Audit-surface shop - Evidence of recent work to clean the shop. Clear access to emergency equipment(fire extinguishers/electrical cabinets) and other equipment.","__label__BODY 0.178899 __label__BACK 0.118694 __label__MULTIPLE 0.0954895"
"13","Audit - Workplace neat and orderly. Tools stored and organized. Shop floor clear of tripping hazards. Power cords inspected. No issues","__label__UNKNOWN 0.812018 __label__MULTIPLE 0.0741864 __label__BODY 0.0146363"
